REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
3,WEST VIRGINIA,Logan County,32567,32473,31909,-94,-564,92,339,160,619,-68,-280,-1,0,-24,-284,-25,-284,10.53089373,19.22897704,-8.698083315,0,-8.822341648,-8.822341648
3,WEST VIRGINIA,McDowell County,19111,18916,18363,-195,-553,45,156,97,365,-52,-209,1,3,-144,-343,-143,-340,8.369323212,19.58207034,-11.21274712,0.160948523,-18.40178116,-18.24083264
3,WEST VIRGINIA,Marion County,56205,56157,56001,-48,-156,155,575,208,800,-53,-225,0,9,8,50,8,59,10.25339254,14.26558962,-4.012197079,0.160487883,0.891599351,1.052087234
3,WEST VIRGINIA,Marshall County,30591,30444,30115,-147,-329,67,260,132,471,-65,-211,0,4,-79,-125,-79,-121,8.586667547,15.55507852,-6.968410971,0.132102578,-4.128205552,-3.996102974
3,WEST VIRGINIA,Mason County,25453,25356,25157,-97,-199,58,215,126,441,-68,-226,0,1,-27,23,-27,24,8.512660107,17.46085166,-8.948191555,0.039593768,0.910656663,0.950250431
3,WEST VIRGINIA,Mercer County,59664,59462,59097,-202,-365,130,550,260,1058,-130,-508,0,14,-67,121,-67,135,9.278080956,17.84765391,-8.569572955,0.236169333,2.04117781,2.277347144
3,WEST VIRGINIA,Mineral County,26938,26877,26857,-61,-20,50,257,96,421,-46,-164,0,1,-12,140,-12,141,9.565638143,15.66978077,-6.104142629,0.037220382,5.210853463,5.248073845
3,WEST VIRGINIA,Mingo County,23568,23455,23005,-113,-450,66,259,103,448,-37,-189,0,0,-75,-259,-75,-259,11.14937581,19.2854068,-8.136030994,0,-11.14937581,-11.14937581
3,WEST VIRGINIA,Monongalia County,105822,105916,106387,94,471,289,1002,196,888,93,114,11,212,-12,120,-1,332,9.439339058,8.365402279,1.073936779,1.997145589,1.130459767,3.127605357
3,WEST VIRGINIA,Monroe County,12376,12330,12332,-46,2,23,97,61,192,-38,-95,0,2,-6,94,-6,96,7.866353094,15.57051334,-7.704160247,0.162192847,7.623063823,7.78525667
3,WEST VIRGINIA,Morgan County,17063,17037,17221,-26,184,31,138,83,264,-52,-126,0,0,28,313,28,313,8.056512348,15.4124584,-7.355946056,0,18.27310409,18.27310409
3,WEST VIRGINIA,Nicholas County,24604,24523,24300,-81,-223,42,198,99,414,-57,-216,0,0,-21,-10,-21,-10,8.110931323,16.95922004,-8.848288716,0,-0.409642996,-0.409642996
