UID,code3,FIPS,Admin2,Province_State,3/31/21
84013029,840,13029,Bryan,Georgia,3451
84013031,840,13031,Bulloch,Georgia,6611
84013033,840,13033,Burke,Georgia,2473
84013035,840,13035,Butts,Georgia,2868
84013037,840,13037,Calhoun,Georgia,576
84013039,840,13039,Camden,Georgia,3831
84013043,840,13043,Candler,Georgia,924
84013045,840,13045,Carroll,Georgia,10937
84013047,840,13047,Catoosa,Georgia,5889
84013049,840,13049,Charlton,Georgia,1337
84013051,840,13051,Chatham,Georgia,22143
84013053,840,13053,Chattahoochee,Georgia,3476
84013055,840,13055,Chattooga,Georgia,2693
84013057,840,13057,Cherokee,Georgia,29522
84013059,840,13059,Clarke,Georgia,14598
84013061,840,13061,Clay,Georgia,234
84013063,840,13063,Clayton,Georgia,24760
84013065,840,13065,Clinch,Georgia,938
84013067,840,13067,Cobb,Georgia,74036
84013069,840,13069,Coffee,Georgia,5235
84013071,840,13071,Colquitt,Georgia,4582
84013073,840,13073,Columbia,Georgia,16238
84013075,840,13075,Cook,Georgia,1774
84013077,840,13077,Coweta,Georgia,13567
84013079,840,13079,Crawford,Georgia,652
84013081,840,13081,Crisp,Georgia,2018
84013083,840,13083,Dade,Georgia,1350
84013085,840,13085,Dawson,Georgia,2913
84013089,840,13089,DeKalb,Georgia,61295
84013087,840,13087,Decatur,Georgia,2838
84013091,840,13091,Dodge,Georgia,2066
84013093,840,13093,Dooly,Georgia,1056
84013095,840,13095,Dougherty,Georgia,7243
84013097,840,13097,Douglas,Georgia,14278
84013099,840,13099,Early,Georgia,1152
84013101,840,13101,Echols,Georgia,461
84013103,840,13103,Effingham,Georgia,4387
84013105,840,13105,Elbert,Georgia,2260
84013107,840,13107,Emanuel,Georgia,2514
84013109,840,13109,Evans,Georgia,938
84013111,840,13111,Fannin,Georgia,2277
84013113,840,13113,Fayette,Georgia,8533
84013115,840,13115,Floyd,Georgia,11622
84013117,840,13117,Forsyth,Georgia,21096
84013119,840,13119,Franklin,Georgia,2592
84013121,840,13121,Fulton,Georgia,91721
84013123,840,13123,Gilmer,Georgia,2843
84013125,840,13125,Glascock,Georgia,262
84013127,840,13127,Glynn,Georgia,7806
