FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
35035,66217,29.04,43.55,27.41,72,112.0,35.997624199227864
35037,8231,17.3,47.9,34.8,8,25.0,30.20914020139427
35039,38766,19.19,46.99,33.82,73,80.0,66.0933365407746
35041,17520,32.95,42.01,25.04,53,30.0,27.269975786924935
35043,146408,32.78,45.92,21.29,220,271.0,53.01324416812518
35045,123020,21.74,44.97,33.29,462,249.0,34.57949286725054
35047,26666,19.57,46.3,34.13,14,54.0,68.40690313069118
35049,148542,24.75,50.0,25.25,142,258.0,76.04558113515026
35051,10740,19.29,42.79,37.91,45,25.0,38.09924306139613
35053,16137,20.24,45.65,34.11,56,24.0,51.98324022346369
35055,32685,21.88,46.0,32.12,50,29.0,76.36924509632735
35057,14856,20.81,47.08,32.11,12,0.0,32.19338003021563
35059,3422,16.28,54.03,29.69,9,25.0,21.40860816098379
35061,75285,22.82,49.88,27.29,102,0.0,44.18936084518388
36001,292489,41.37,38.86,19.77,340,1408.0,64.29000756170545
36003,42320,33.69,39.0,27.31,82,76.0,28.94472361809045
36005,1401547,14.24,43.75,42.01,6224,3908.0,82.18659155085928
36007,182597,36.54,40.25,23.21,343,742.0,50.28130147389137
36009,74564,33.05,40.62,26.33,79,186.0,33.92255411502656
36011,73475,37.46,41.16,21.39,90,99.0,43.93090315560392
36013,123407,37.5,36.79,25.71,130,359.0,38.6264012046177
36015,80830,40.7,38.55,20.75,131,391.0,41.89267457379568
36017,47100,34.85,44.2,20.95,72,58.0,36.98086273810055
36019,74667,39.61,38.39,22.0,30,300.0,51.53071246176727
36021,58948,34.6,43.29,22.11,98,192.0,56.9743718733406
36023,44363,41.48,37.81,20.71,60,162.0,47.36433400328888
36025,42590,30.87,45.72,23.4,34,67.0,39.62468579353385
36027,280120,41.17,40.79,18.03,425,926.0,53.62007781998697
36029,901600,39.62,39.35,21.03,1654,2882.0,56.03634327278218
36031,35440,34.7,41.29,24.02,26,40.0,51.088854648176685
36033,44517,35.45,37.37,27.17,12,173.0,47.646755921730175
36035,52907,34.76,42.4,22.84,85,74.0,32.94699235626454
36037,56153,41.85,38.74,19.41,121,131.0,32.70361183785804
36039,44713,34.07,42.66,23.27,73,0.0,40.8609794628752
36041,4415,34.43,42.08,23.49,2,0.0,33.76325594726283
36043,60676,38.16,40.75,21.09,107,25.0,33.61637347767253
36045,108272,37.18,42.35,20.47,63,344.0,39.21910761630674
36047,2552747,19.53,47.84,32.63,9662,5831.0,76.4151763402073
36049,26267,40.07,40.51,19.42,33,31.0,29.334151580239336
36051,57680,39.76,39.31,20.92,58,67.0,39.41432903714935
36053,66740,37.98,42.92,19.1,85,126.0,43.21193019319442
36055,725418,39.88,38.91,21.21,1020,1930.0,58.864821029520286
36057,49113,34.59,39.99,25.42,112,130.0,37.545890991245415
36059,1347377,38.42,43.27,18.31,3051,4600.0,53.69997927865335
36061,1588188,16.84,51.64,31.52,4209,8686.0,85.97600530364055
36063,207484,41.55,37.77,20.68,329,623.0,43.89315888848626
36065,219744,37.84,40.08,22.08,494,701.0,40.87378067967275
36067,448719,39.21,39.82,20.97,654,1738.0,58.93179908861791
36069,107809,43.14,38.6,18.26,90,399.0,48.30656569859366
36071,381828,40.82,40.75,18.43,774,922.0,48.8641412538588
36073,38452,36.46,43.01,20.53,83,39.0,30.50671617341924
36075,113356,39.41,39.43,21.16,89,126.0,38.54554072777656
36077,55162,34.03,39.81,26.15,46,240.0,45.97314247245154
36079,97056,46.2,41.08,12.71,90,164.0,45.108283018185766
36081,2249659,20.96,49.38,29.66,9316,4322.0,71.62233259240426
36083,154558,39.45,39.94,20.61,133,408.0,51.23558690377929
36085,474257,32.62,45.01,22.37,1694,1162.0,41.76109114773358
36087,324027,33.63,43.85,22.52,721,661.0,50.07365521432676
36089,98310,35.32,38.52,26.16,94,319.0,42.77067179181302
36091,227731,46.93,38.75,14.33,155,171.0,51.26763305280182
36093,152958,39.46,39.87,20.67,187,368.0,56.33382417320014
36095,29847,36.03,40.48,23.49,14,40.0,33.80771663504111
36097,17771,36.44,37.34,26.22,12,25.0,39.83059495866925
36099,31790,36.69,38.37,24.94,56,0.0,43.98778470543326
36101,94941,37.99,39.58,22.44,140,654.0,33.94530914094075
36103,1463965,40.24,42.52,17.24,3250,3290.0,48.556691917026114
36105,73793,36.24,39.76,24.0,64,169.0,44.08801093020608
36107,48138,40.53,40.52,18.96,57,0.0,38.27572506952722
36109,90005,39.16,42.33,18.51,49,212.0,73.00859972202919
36111,171916,40.2,39.14,20.65,238,325.0,59.05664221678892
36113,63804,39.9,40.0,20.1,55,410.0,48.47502335549816
36115,58747,39.33,39.82,20.85,55,0.0,40.92936013590034
36117,89764,39.62,40.0,20.39,66,120.0,38.76440674202216
36119,952022,36.61,42.17,21.22,2198,2358.0,67.57401057834792
36121,36679,36.91,44.13,18.96,50,62.0,26.03808448390905
36123,23874,31.38,41.62,27.0,26,25.0,39.10826844642195
37001,164562,35.37,41.47,23.15,240,238.0,11.274407313191857
37003,36233,36.47,40.82,22.71,82,25.0,5.120824273571852
37005,11122,20.8,42.44,36.76,5,41.0,6.114219881500987
37007,22880,23.35,46.97,29.68,55,15.0,12.928801143469714
37009,27162,26.2,47.95,25.86,40,76.0,6.582774756544834
37011,15236,25.18,46.48,28.33,20,50.0,5.791393529287376
37013,46903,25.68,45.34,28.97,89,142.0,9.151624548736462
37015,17786,25.45,38.25,36.3,43,6.0,15.127356087620988
37017,32661,28.02,44.21,27.78,41,58.0,10.694890510948904
37019,142560,26.68,48.05,25.27,143,308.0,9.234821181036873
37021,257177,33.68,44.67,21.65,302,882.0,14.93402199679394
37023,88598,30.88,42.18,26.94,146,446.0,7.352809291063181
37025,215717,41.55,42.15,16.3,241,457.0,11.12414375527822
37027,81734,31.28,46.61,22.11,101,110.0,5.980176982885428
37029,10867,35.87,45.05,19.08,5,0.0,6.454728708214345
37031,69050,31.38,44.53,24.09,45,135.0,7.081039934418549
37033,21481,28.61,40.77,30.62,27,0.0,10.082150858849888
37035,158180,34.82,43.15,22.03,291,613.0,7.698231944860653
37037,74396,28.53,47.1,24.37,85,25.0,13.779604518611494
37039,28504,22.86,45.77,31.37,20,191.0,5.454241003470743
37041,13912,31.45,40.64,27.91,22,89.0,10.42844295991778
37043,11225,26.6,41.51,31.88,18,0.0,6.162048454954301
