FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
15005,86,23.26,45.35,31.4
15007,71944,23.77,56.48,19.76
15009,166577,25.62,54.48,19.89
16001,472391,42.88,41.79,15.33
16003,4275,24.84,54.39,20.77
16005,86278,36.01,44.02,19.96
16007,6125,29.36,54.53,16.11
16009,9289,28.87,44.26,26.87
16011,46691,33.91,45.85,20.24
16013,23005,31.98,51.52,16.51
16015,7797,27.75,49.51,22.74
16017,45642,29.67,45.71,24.62
16019,118722,40.63,43.92,15.45
16021,12221,24.55,50.34,25.11
16023,2595,28.17,51.83,20.0
16025,1106,25.41,59.76,14.83
16027,227795,32.1,49.51,18.38
16029,7151,28.91,56.05,15.05
16031,23904,32.85,46.95,20.21
16033,845,19.17,48.17,32.66
16035,8076,26.46,42.36,31.18
16037,4306,29.61,47.56,22.83
16039,27313,31.63,46.5,21.87
16041,13863,36.36,45.16,18.48
16043,12690,25.7,51.41,22.89
16045,18062,30.81,46.1,23.09
16047,15157,20.09,53.39,26.52
16049,16257,25.07,50.8,24.14
16051,29761,34.79,51.73,13.49
16053,24343,28.61,46.37,25.02
16055,165127,35.08,45.86,19.06
16057,37544,37.85,45.73,16.42
16059,8015,29.64,41.7,28.66
16061,3825,26.67,44.26,29.07
16063,5366,21.19,57.94,20.87
16065,39337,33.45,44.56,21.99
16067,21030,29.55,51.1,19.35
16069,39895,37.45,41.81,20.74
16071,4531,33.11,41.96,24.94
16073,11738,24.29,47.84,27.88
16075,23865,28.88,50.47,20.65
16077,7661,30.34,52.72,16.94
16079,12819,24.33,39.84,35.83
16081,12142,41.32,49.65,9.03
16083,86421,35.59,47.21,17.2
16085,11353,35.86,39.01,25.13
16087,10150,24.5,50.73,24.77
17001,64937,40.7,37.16,22.14
17003,5761,24.65,45.13,30.22
17005,14986,36.17,41.42,22.41
17007,53473,41.68,40.08,18.24
17009,4644,42.16,38.65,19.19
17011,32606,37.47,39.66,22.87
17013,4737,29.05,44.82,26.13
17015,14253,32.62,44.64,22.73
17017,12147,38.57,35.98,25.45
17019,195071,37.2,41.19,21.61
17021,31031,35.14,43.55,21.31
17023,15435,40.14,39.36,20.51
17025,13178,34.65,41.11,24.24
17027,35966,42.78,39.03,18.19
17029,48135,42.91,37.49,19.59
17031,5109413,32.89,43.22,23.89
17033,17414,30.45,42.17,27.39
17035,10761,36.93,41.88,21.19
17037,99959,42.91,40.02,17.07
17039,15562,38.02,41.05,20.94
17041,19449,35.16,40.92,23.92
17043,915779,44.53,40.2,15.27
17045,17128,40.16,38.82,21.02
17047,6395,31.26,47.97,20.77
17049,33942,40.58,40.8,18.62
17051,19942,34.74,43.93,21.33
17053,12918,38.62,41.42,19.96
17055,38391,33.44,41.96,24.6
17057,32199,36.87,39.56,23.57
17059,4828,34.71,37.88,27.4
17061,12766,37.08,42.45,20.47
17063,51028,47.36,39.43,13.2
17065,8116,30.79,42.24,26.97
17067,17677,36.02,39.5,24.48
17069,3821,29.78,44.07,26.14
17071,6646,39.32,41.51,19.17
17073,48615,38.89,40.83,20.28
17075,27014,35.24,40.05,24.71
17077,53917,30.53,44.72,24.75
17079,9606,38.37,44.87,16.76
17081,35856,35.3,42.94,21.76
17083,21315,39.59,37.78,22.63
17085,21222,37.48,39.31,23.2
17087,11191,34.72,37.32,27.97
17089,530019,39.47,43.04,17.49
17091,105897,38.56,38.38,23.06
17093,128926,47.81,40.32,11.87
17095,46674,32.68,38.3,29.02
17097,693312,41.36,41.99,16.65
17099,106698,36.76,43.27,19.97
17101,13442,31.92,43.48,24.59
17103,31556,38.12,41.4,20.48
17105,33919,36.38,39.91,23.71
17107,24964,38.84,37.41,23.75
17109,26712,34.19,41.15,24.65
17111,307237,48.42,38.09,13.49
